الشيخوخة المنتجة	老有所为	productive ageing	vieillissement productif	Активная старость	envejecimiento productivo
الإنشاء	成立	establishment	creation	Учреждение	establecimiento
هياكل من الصلب	结构钢	structural steel	acier de construction	Конструкционная сталь	acero de construccion
صناعة تحويل المعادن	金属加工工业	metalworking industry	metallurgie de transformation	Металлообрабатывающая промышленность	industria metalmecanica
الاقتصاد الإداري	管理经济学	managerial economics	economie de gestion	Экономические методы управления	economia de la administracion
البيوت الشمسية	太阳能温室	solar houses	maisons solaires	Солнечные дома	casas solares
صناعة النحاس	铜业	copper industry	industrie du cuivre	Медная промышленность	industria del cobre
التمويل من موارد خارجة عن الميزانية	预算外筹资	extrabudgetary financing	financement extra-budgetaire	Внебюджетное финансирование	financiacion extrapresupuestaria
القلويات	碱	alkalies	alcalis	Щелочи	alcalis
المجالات الكهربائية	电场	electric fields	champs electriques	Электрические поля	campos electricos
اللغة الجورجية	格鲁吉亚语	georgian language	langue georgienne	Грузинский язык	lengua georgiana
اختبار المواد	材料试验	materials testing	mise a l'epreuve des materiaux	Испытание материалов	ensayo de materiales
المقاصة الدولية	国际清算	international clearing	compensation internationale	Международные безналичные расчеты	compensacion internacional
الشروح والاقتباسات والتعليقات	注解, 引用和评注	annotations, citations and commentaries	annotations, commentaires et citations	Аннотации, ссылки и комментарии	anotaciones, citas y comentarios
الاختلافات الموسمية	季节性差异	seasonal variations	variations saisonnieres	Сезонные колебания	variaciones estacionales
المدفعية	火炮	artillery	artillerie	Артиллерия	artilleria
قانون التجارة الدولية	国际贸易法	international trade law	droit commercial international	Право международной торговли	derecho mercantil internacional
السلوفاكيون	斯洛伐克人	slovaks	slovaques	Словаки	eslovacos
التعاون الصناعي	工业合作	industrial cooperation	cooperation industrielle	Промышленное сотрудничество	cooperacion industrial
منغوليا	蒙古	mongolia	mongolie	Монголия	mongolia
تنظيم الجماعات	社区组织	community organization	organisation communautaire	Организация в местных сообществах	organizacion comunitaria
الناميبيون	纳米比亚人	namibians	namibiens	Намибийцы	namibianos
التعذيب وغير ذلك من المعاملة القاسية	酷刑和其他残忍的待遇	torture and other cruel treatment	torture et autres traitements cruels	Пытки и иное жестокое обращение	tortura y otros tratos crueles
اللغات الأفريقية	非洲语言	african languages	langues africaines	Африканские языки	lenguas africanas
منشآت على المياه الساحلية	海上设施	offshore installations	installations en mer	Морские установки	instalaciones en mar abierto
التنمية الحضرية	城市发展	urban development	developpement urbain	Градостроительство	desarrollo urbano
طب الغدد الصماء	内分泌学	endocrinology	endocrinologie	Эндокринология	endocrinologia
مسألة هايتي	海地问题	haiti question	question de haiti	Вопрос о Гаити	cuestion de haiti
قطر	卡塔尔	qatar	qatar	Катар	qatar
تعدد اللغات	使用多种语言	multilingualism	multilinguisme	Многоязычие	multilinguismo
العواصم	首都城市	capital cities	capitales	Столицы	capitales
استكشاف الفضاء	空间探索	space exploration	exploration de l'espace	Исследование космоса	exploracion espacial
الأجهزة الملاحية	航海仪器	nautical instruments	instruments nautiques	Навигационные приборы	instrumentos nauticos
التخطيط التربوي	教育规划	educational planning	planification de l'education	Планирование образования	planificacion de la educacion
المسكن المؤقت	临时住所	temporary housing	logements provisoires	Временное жилье	vivienda provisoria
الجريمة المنظمة	有组织的犯罪	organized crime	crime organise	Организованная преступность	crimen organizado
الباربيتوريت	巴比土酸盐	barbiturates	barbituriques	Барбитураты	barbituricos
تخطيط العلم والتكنولوجيا	科学和技术规划	science and technology planning	planification de la science et de la technologie	Научно-техническое планирование	planificacion de la ciencia y la tecnologia
المعادن	矿物	minerals	mineraux	Полезные ископаемые	minerales
مسألة برمودا	百慕大问题	bermuda question	question des bermudes	Вопрос о Бермудских островах	cuestion de bermudas
رؤساء الجمهوريات	总统	presidents	presidents	Президенты	presidentes
متعهدو النقل	运输经营人	transport operators	entrepreneurs de transport	Транспортные операторы	operadores de transporte
المعلومات التربوية	教育信息	educational information	information pedagogique	Образовательная информация	informacion educativa
الإريتريون	厄立特里亚人	eritreans	erythreens	Эритрейцы	eritreos
العون الذاتي	自助	self-help	autoassistance	Самопомощь	esfuerzo propio
الميزان التجاري	贸易差额	balance of trade	balance commerciale	Торговый баланс	balanza comercial
هبوط معدلات الوفيات	死亡率下降	mortality decline	baisse de la mortalite	Сокращение смертности	baja de la mortalidad
الفائض العمالي	劳动力富余	labour redundancy	surabondance de personnel	Избыток рабочей силы	exceso de personal
اختيار التكنولوجيا	选择技术	choice of technology	choix de technologie	Выбор технологии	eleccion de tecnologia
الاختيار المهني	选择职业	occupational choice	choix d'une profession	Выбор профессии	eleccion de una ocupacion
الغاز الطبيعي	天然气	natural gas	gaz naturel	Природный газ	gas natural
لحم الأرنب	兔肉	rabbit meat	viande de lapin	Крольчатина	carne de conejo
إحصاءات الهجرة	移徙统计	migration statistics	statistiques migratoires	Миграционная статистика	estadisticas de migracion
صيانة الدخل	收入维持	income maintenance	garantie du revenu	Поддержание дохода	conservacion de los ingresos
تدهور الغابات	森林退化	forest degradation	degradation des forets	Деградация лесов	degradacion forestal
القانون القنصلي	领事法	consular law	droit consulaire	Консульское право	derecho consular
الكينيون	肯尼亚人	kenyans	kenyens	Кенийцы	kenianos
نوعية البيانات	数据质量	data quality	qualite des donnees	Качество данных	calidad de los datos
الأردنيون	约旦人	jordanians	jordaniens	Иорданцы	jordanos
التلفزيون	电视	television	television	Телевидение	television
التجارة بين الصناعات	行业内部贸易	intra-industry trade	echanges intra-industriels	Внутриотраслевая торговля	comercio intraindustrial
الأنشطة التنفيذية	业务活动	operational activities	activites operationnelles	Оперативная деятельность	actividades operacionales
التوزيع حسب الجنس	性别分布	sex distribution	repartition par sexe	Половая структура населения	distribucion por sexo
البيانات الإحصائية	统计数据	statistical data	donnees statistiques	Статистические данные	datos estadisticos
المجاري المائية الدولية	国际水道	international watercourses	cours d'eau internationaux	Международные водотоки	cursos de agua internacionales
اللاجئات	女难民	women refugees	refugiees	Беженки	refugiadas
الينابيع	泉水	springs	sources	Источники (подземных вод)	fuentes
الاستمارات القانونية	法定形式	legal forms	formulaires	Юридические документы установленного образца	formularios legales
الامتثال للجزاءات	遵守制裁	sanctions compliance	respect des sanctions	Соблюдение санкций	respeto de las sanciones
الفيليبينيون	菲律宾人	filipinos	philippins	Филиппинцы	filipinos
القطاع غير النظامي	非正规经济部门	informal sector	secteur informel	Неформальный сектор	sector informal
البحوث الأيكولوجية	生态研究	ecological research	recherche ecologique	Экологические исследования	investigacion ecologica
أنظمة السلامة	安全条例	safety regulations	reglements de securite	Правила техники безопасности	normas de seguridad
الصيد العرضي للأسماك	副渔获物	fisheries bycatch	prises accessoires de la peche	Промысловый прилов	capturas incidentales de la pesca
مسألة جزر فرجن البريطانية	英属维尔京群岛问题	british virgin islands question	question des iles vierges britanniques	Вопрос о Британских Виргинских островах	cuestion de las islas virgenes britanicas
بحوث السلام	和平研究	peace research	recherche sur la paix	Исследование проблем мира	investigacion sobre la paz
الكنيسة البروتستانتية	新教教会	protestant churches	eglises protestantes	Протестантские церкви	iglesias protestantes
فرق الخبراء	专家小组	groups of experts	groupes d'experts	Группы экспертов	grupos de expertos
الوصاية	监护	guardianship	tutelle des enfants	Опека (попечительство)	tutela de menores
مصايد سمك الرنكة	鲱鱼业	herring fisheries	peches au hareng	Сельдевый промысел	pesquerias de arenques
المعدات الطبية	医疗设备	medical equipment	equipement medical	Медицинская аппаратура	equipo medico
النظائر	同位素	isotopes	isotopes	Изотопы	isotopos
إلقاء النفايات في البحار	海洋倾弃	ocean dumping	immersion de dechets en mer	Сброс отходов в океан	vertido de desechos en el oceano
محو الأمية	识字	literacy	alphabetisation	Грамотность	alfabetizacion
وفيات الرضع	婴儿死亡率	infant mortality	mortalite infantile	Младенческая смертность	mortalidad infantil
السجناء	囚犯	prisoners	prisonniers	Заключенные	presos
حصص الإستيراد	进口配额	import quotas	contingents d'importation	Импортные квоты	contingentes de importacion
الاستقصاءات البحرية	海洋调查	marine surveys	leves de ressources marines	Морские съемки	levantamientos marinos
المراكز الاجتماعية	社区中心	community centres	centres communautaires	Культурно-общественные центры	centros comunitarios
تناقص سكان الريف	农村人口减少	rural depopulation	depopulation rurale	Сельская депопуляция	despoblacion rural
الانتخابات	选举	elections	elections	Выборы	elecciones
علاوة الأولاد	子女津贴	children's allowance	indemnite pour enfants a charge	Надбавка на детей	prestacion por hijos a cargo
التدخين	吸烟	smoking	tabagisme	Курение	habito de fumar
مراكز الحاسوب	计算机中心	computer centres	centres de calcul	Компьютерные центры	centros de computacion
العمال الشباب	青年工人	young workers	jeunes travailleurs	Трудящаяся молодежь	trabajadores jovenes
الكميونات	公社	communes	communes	Коммуны	comunas
الموظفون	雇员	employees	employes	Работники	empleados
جورجيا	格鲁吉亚	georgia	georgie	Грузия	georgia
سداد الدين	偿债	debt repayments	remboursement de la dette	Выплаты в погашение долга	reembolso de la deuda
برمجة الحاسوب	计算机编程	computer programming	programmation d'ordinateurs	Компьютерное программирование	programacion de computadoras
 المزالج العجلية واللوحات الزلاجة	溜冰和溜冰板	skates and skateboards	patins et planches a roulettes	Коньки и скейтборды	patines y patinetas
مواصفات الإنتاج	生产标准	production standards	normes de production	Нормы выработки	normas de produccion
الرخويات	磷虾	krill	krill	Криль	krill
التعسف الإداري	滥用行政权力	abuse of administrative power	abus de pouvoir administratif	Злоупотребление административными полномочиями	abuso de autoridad administrativa
الألغام البحرية	水雷	submarine mines	mines sous-marines	Подводные мины	minas submarinas
تنمية الموارد المائية	水资源开发	water resources development	mise en valeur des ressources en eau	Освоение водных ресурсов	desarrollo de los recursos hidricos
عملية الاتصال	传播程序	communication process	processus de communication	Коммуникация	proceso de comunicacion
تسجيل الناخبين	选民登记	voter registration	inscription des electeurs	Регистрация избирателей	registro de votantes
علم الاجتماع الإسلامي	伊斯兰社会学	islamic sociology	sociologie islamique	Исламская социология	sociologia islamica
أشرطة الفيديو	录像带	videotapes	bandes video	Видеоленты	videocintas
المنسقون المقيمون	驻地协调员	resident coordinators	coordonnateurs residents	Координаторы-резиденты	coordinadores residentes
قضية السويس	苏伊士问题	suez question	question de suez	Суэцкий вопрос	cuestion de suez
النهضة	文艺复兴时期	renaissance	renaissance	Эпоха Возрождения	renacimiento
اللغة اللاتينية	拉丁语	latin language	langue latine	Латинский язык	lengua latina
تشغيل السجناء	劳役	prison labour	travail penitentiaire	Труд заключенных	trabajo de los presos
سبل الانتصاف القانوني	法律补救方法	legal remedies	recours	Средства правовой защиты	recurso
المحطات الحرارية لتوليد الكهرباء	热电厂	thermal power plants	centrales thermiques	Тепловые электростанции	centrales de energia termica
علم بيئة الإنسان	人类生态学	human ecology	ecologie humaine	Экология человека	ecologia humana
الأوعية الدموية	血管	blood vessels	vaisseaux sanguins	Кровеносные сосуды	vasos sanguineos
لغة مدغشقر	马尔加什语	malagasy language	langue malgache	Малагасийский язык	lengua malgache
احتياطيات الذهب	黄金储备	gold reserves	reserves d'or	Золотые резервы	reservas de oro
الإجلاء	撤离	evacuation	evacuation	Эвакуация	evacuacion
التحكم العددي	数字控制	numerical control	controle numerique	Числовое программное управление	control numerico
الكنيسة والدولة	教会与国家	church and state	eglise et etat	Церковь и государство	iglesia y estado
علم المعادن	矿物学	mineralogy	mineralogie	Минералогия	mineralogia
سلاسل الكتب	专论系列	monographic series	series monographiques	Монографические серии	series monograficas
الكنديون	加拿大人	canadians	canadiens	Канадцы	canadienses
دراسة المشروع	项目评估	project appraisal	examen de projet	Предварительная оценка проектов	estimacion de proyectos
أمراض العين	眼疾	eye diseases	maladies des yeux	Глазные болезни	enfermedades de los ojos
السيليكون	硅	silicon	silicium	Кремний	silicio
جيبوتي	吉布提	djibouti	djibouti	Джибути	djibouti
التركيب السكاني	人口组合	population composition	composition de la population	Состав населения	composicion de la poblacion
صناعة الاتصالات	通信工业	communication industry	industrie des communications	Коммуникационная индустрия	industria de las comunicaciones
الفلوريد	氟化物	fluorides	fluorures	Фториды	fluoruros
البحوث الهيدرولوجية	水文研究	hydrological research	recherche hydrologique	Гидрологические исследования	investigacion hidrologica
ناقلات المرض	病媒	disease vectors	vecteurs de maladies	Переносчики болезней	vectores de enfermedades
مزارع الدولة	国有农场	state farms	fermes d'etat	Государственные хозяйства	granjas estatales
تكنولوجيا مكافحة التلوث	控制污染技术	pollution control technology	technologie de lutte contre la pollution	Методы борьбы с загрязнением	tecnologia de lucha contra la contaminacion
المؤشرات الاجتماعية الاقتصادية	社会经济指标	socio-economic indicators	indicateurs socio-economiques	Социально-экономические показатели	indicadores socioeconomicos
التمويل التربوي	教育集资	educational financing	financement de l'education	Финансирование образования	financiamiento de la educacion
الأسلحة النووية التعبوية	战术核武器	tactical nuclear weapons	armes nucleaires tactiques	Тактическое ядерное оружие	armas nucleares tacticas
منشأة التخزين بالضخ	抽水蓄能电厂	pumped storage plants	centrales de pompage	Гидроаккумулирующие электростанции	plantas de almacenamiento por bombeo
تأمين رعاية صحية طويل الأجل	长期看护险	long-term care insurance	assurance soins de longue duree	Долгосрочное страхование по уходу	seguro de atencion a largo plazo
اعتمادات الاستيراد	进口信贷	import credits	credits a l'importation	Импортные кредиты 	creditos a la importacion
الأراضي الحضرية	都市土地	urban land	terrain urbain	Городская земля	predios urbanos
علم الأساطيل	海事科学 	naval science	science navale	Военно-морская наука	ciencia naval
المضخات الحرارية	热泵	heat pumps	pompes a chaleur	Тепловые насосы	bombas de calor
أسطوانات الغاز	汽缸	gas cylinders	bouteilles de gaz	Газовые баллоны	botellas de gas
الكواكب	行星	planets	planetes	Планеты	planetas
سفن الصيد	捕鱼船	fishing vessels	bateaux de peche	Рыболовные суда	buques pesqueros
دور كل من الجنسين	性别角色	gender roles	roles sexuels	Гендерные роли	roles de los generos
تسهيلات النقل بالسكك الحديدية	简化铁路运输手续	railway transport facilitation	facilitation du transport ferroviaire	Упрощение железнодорожных перевозок	facilitacion del transporte ferroviario
إبادة اليهود	对犹太人的大屠杀	jewish holocaust	holocauste juif	Холокауст (Холокост)	holocausto judio
سواتل الإرسال المباشر	直接广播卫星	direct broadcast satellites	satellites de radiodiffusion directe	Спутники непосредственного вещания	satelites de radiodifusion directa
المرآة	镜	mirrors	miroirs	Зеркала	espejos
خدمات التلخيص والتكشيف	摘录和索引服务	abstracting and indexing services	services d'analyse et d'indexage	Службы реферирования и индексирования	servicios de resumenes y de indizacion
عادات الزواج	结婚风俗	marriage customs	coutumes matrimoniales	Брачные обычаи	costumbres matrimoniales
مستوى سطح البحر	海平面	sea level	niveau de la mer	Уровень моря	nivel del mar
جداول المخدرات	药物名单	drug schedules	tableaux de stupefiants	Списки наркотиков	listas de drogas
البلدان المتضررة جغرافيا	地理不利国	geographically disadvantaged countries	pays geographiquement desavantages	Страны, находящиеся в географически неблагоприятном положении	paises en situacion geografica desventajosa
حصانات الدول	国家豁免	state immunities	immunites des etats	Иммунитеты государств	inmunidades de los estados
معينات الملاحة الجوية	空中导航设备	aids to air navigation	aides a la navigation aerienne	Аэронавигационные средства	ayudas a la navegacion aerea
أداء الميزانية	预算执行情况	budget performance	execution du budget	Исполнение бюджета	ejecucion presupuestaria
نمو النباتات	植被	vegetation	vegetation	Растительность	vegetacion
العدالة البيئية	环境正义	environmental justice	justice en matiere d'environnement	Экологическая справедливость	justicia ambiental
